country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT213,UD08,2020,0.0,0.0
AT,AT213,UD08,2030,0.0,0.0
AT,AT221,BASE,2012,29.0096374355064,11.357592349778338
AT,AT221,BASE,2020,24.9250804845871,10.077792827678644
AT,AT221,BASE,2030,24.9250804845871,8.98008599326409
AT,AT221,HIGH,2012,0.0,0.0
AT,AT221,HIGH,2020,0.0,0.0
AT,AT221,HIGH,2030,0.0,0.0
AT,AT221,TECH,2012,29.0096374355064,11.357592349778338
AT,AT221,TECH,2020,24.9250804845871,10.077792827678644
AT,AT221,TECH,2030,24.9250804845871,8.98008599326409
AT,AT221,UD01,2012,29.0096374355064,11.357592349778338
AT,AT221,UD01,2020,24.9250804845871,10.077792827678644
AT,AT221,UD01,2030,24.9250804845871,8.98008599326409
AT,AT221,UD02,2012,0.0,11.357592349778338
AT,AT221,UD02,2020,0.0,10.077792827678644
AT,AT221,UD02,2030,0.0,8.98008599326409
AT,AT221,UD03,2012,0.0,0.0
AT,AT221,UD03,2020,0.0,0.0
AT,AT221,UD03,2030,0.0,0.0
AT,AT221,UD04,2012,0.0,0.0
AT,AT221,UD04,2020,0.0,0.0
AT,AT221,UD04,2030,0.0,0.0
AT,AT221,UD05,2012,0.0,0.0
AT,AT221,UD05,2020,0.0,0.0
AT,AT221,UD05,2030,0.0,0.0
AT,AT221,UD06,2012,0.0,0.0
AT,AT221,UD06,2020,0.0,0.0
AT,AT221,UD06,2030,0.0,0.0
AT,AT221,UD07,2012,0.0,0.0
AT,AT221,UD07,2020,0.0,0.0
AT,AT221,UD07,2030,0.0,0.0
AT,AT221,UD08,2012,0.0,0.0
AT,AT221,UD08,2020,0.0,0.0
AT,AT221,UD08,2030,0.0,0.0
AT,AT222,BASE,2012,0.0,31.304395852979546
AT,AT222,BASE,2020,0.0,27.77694482124357
AT,AT222,BASE,2030,0.0,24.751387272005985
AT,AT222,HIGH,2012,0.0,0.0
AT,AT222,HIGH,2020,0.0,0.0
AT,AT222,HIGH,2030,0.0,0.0
AT,AT222,TECH,2012,0.0,31.304395852979546
AT,AT222,TECH,2020,0.0,27.77694482124357
AT,AT222,TECH,2030,0.0,24.751387272005985
AT,AT222,UD01,2012,0.0,31.304395852979546
AT,AT222,UD01,2020,0.0,27.77694482124357
AT,AT222,UD01,2030,0.0,24.751387272005985
AT,AT222,UD02,2012,0.0,31.304395852979546
AT,AT222,UD02,2020,0.0,27.77694482124357
AT,AT222,UD02,2030,0.0,24.751387272005985
AT,AT222,UD03,2012,0.0,0.0
AT,AT222,UD03,2020,0.0,0.0
AT,AT222,UD03,2030,0.0,0.0
AT,AT222,UD04,2012,0.0,0.0
AT,AT222,UD04,2020,0.0,0.0
AT,AT222,UD04,2030,0.0,0.0
AT,AT222,UD05,2012,0.0,0.0
AT,AT222,UD05,2020,0.0,0.0
AT,AT222,UD05,2030,0.0,0.0
AT,AT222,UD06,2012,0.0,0.0
